dataset,gte_base,labse,sbert_minilm,sbert_mpnet
STS-B,116.34790419132817,100.0,113.34501557470882,116.17088344169271
STS12,12569.483484287915,100.0,11740.416047654353,15154.759602734419
STS13,159.8651923909889,100.0,210.75378358403358,166.51061053223145
STS14,63.88839820875843,100.0,50.99325989546409,53.71575669213253
STS15,-5104.440753240566,100.0,-3966.0267387456583,-70.39147677911166
STS16,152.1724759182302,100.0,11.469070241265316,92.64223377741027
SimLex-999,69.01232239827775,100.0,73.86825317664145,88.7245221756265
